product_title,review_headline,review_date,Sentiment
'Til Death Do Us Part: Blackwood's Woman\Roarke's Wife (Hqn),Will buy again,"Tuesday, May 1, 2012",Positive
'Twas Ever,Wonderful Book for Tween Girls,"Wednesday, May 2, 2012",Positive
'Viva Mexico!',An Evocative Read,"Tuesday, May 1, 2012",Positive
"(Hamlet (No Fear Shakespeare) (Study Guide)) By Shakespeare, William (Author) Paperback on 01-Jul-2003",great for kids and adults,"Tuesday, May 1, 2012",Positive
"(Reprint) 1970 Yearbook: Shawnee High School, Lima, Ohio",wonderful!,"Sunday, April 29, 2012",Positive
"(TRUE GRIT)) BY Portis, Charles(Author)Paperback{True Grit} on 05 Nov-2010","Sales of the book fell after the movie with John Wayne came out,","Monday, April 30, 2012",Positive
...And Then I Became Gay: Young Men's Stories,"Highly readable, clear, thoughtful, helpful....","Tuesday, May 1, 2012",Positive
.NET 4.0 Generics Beginner's Guide,L - I - K - E !!!,"Sunday, April 29, 2012",Positive
.hack//4Koma,Tons of mini comics for the avid Dot Hack fan,"Sunday, April 29, 2012",Positive
"001: Bruce Lee's Fighting Method, Vol. 1",Great for what it is...,"Tuesday, May 1, 2012",Positive
"002: Lee's Lieutenants: A Study in Command, Vol. 2 - Cedar Mountain to Chancellorsville",An Army's Leaders Come of Age...,"Monday, April 30, 2012",Positive
"003: Bruce Lee's Fighting Method, Vol. 3",Great for what it is...,"Tuesday, May 1, 2012",Positive
"1,000 Artist Journal Pages: Personal Pages and Inspirations (1000 Series)","1,000 Artist Journal Pages: Personal Pages and Inspiration","Monday, April 30, 2012",Positive
"1,000 Places to See Before You Die 2012 Page-a-Day Calendar",Fun calendar,"Monday, April 30, 2012",Positive
"1,000 Vegan Recipes (1,000 Recipes)",Best vegan cookbook ever!,"Wednesday, May 2, 2012",Positive
"1,012 GMAT Practice Questions (Graduate School Test Preparation)","It has typos things, but the content is good","Sunday, April 29, 2012",Positive
"1,014 GRE Practice Questions, 3rd Edition (Graduate School Test Preparation)",Errors!,"Monday, April 30, 2012",Positive
10 Amazing Muslims Touched by God,A MUST READ for such a time as this!,"Monday, April 30, 2012",Positive
10 Excellent Reasons Not to Join the Military,Pre Conceived Notions and Bad Sampling,"Tuesday, May 1, 2012",Negative
10 Hungry Rabbits: Counting & Color Concepts,A Fun Way To Teach Concepts.....,"Sunday, April 29, 2012",Positive
10 Secrets to Empower Kids and Awaken the Child in You,Inspirational!,"Monday, April 30, 2012",Positive
10-20-30 Minutes to Learn to Knit  (Leisure Arts #3231),excellent,"Tuesday, May 1, 2012",Positive
"100 Best Loved Piano Solos, Vol 1 (Big Note Piano Solos)",I like it,"Monday, April 30, 2012",Positive
100 Graded Classical Guitar Studies,good book,"Tuesday, May 1, 2012",Positive
100 Lessons in Classical Ballet: The Eight-Year Program of Leningrad's Vaganova Choreographic School,I love it!!!,"Monday, April 30, 2012",Positive
"100 Mistakes that Changed History: Backfires and Blunders That Collapsed Empires, Crashed Economies, and Altered the Course of Our World",A book about mistakes containing mistakes,"Wednesday, May 2, 2012",Positive
100 Poems to Bestill Your Young Heart,Most Sensual Book I've Ever Read,"Tuesday, May 1, 2012",Positive
100 Power Tips For FPGA Designers,Little information. Don't waste your money,"Sunday, April 29, 2012",Positive
100 Samurai Sudoku Puzzles 2,great sudoku book,"Tuesday, May 1, 2012",Positive
100 Ways To Say I Love You Mother (Volume 2),100 ways to say I love you mother,"Sunday, April 29, 2012",Positive
"100,000 Hearts: A Surgeon's Memoir",The Greater Good,"Wednesday, May 2, 2012",Positive
1000 Days: The Ministry of Christ,Average. Nothing special,"Monday, April 30, 2012",Positive
1000 Days: The Ministry of Christ,Good for book study in small groups,"Sunday, April 29, 2012",Positive
1000 Stickers,Great idea....doesn't hold up well,"Monday, April 30, 2012",Positive
"1001 All Natural Secrets to Pest Control, New Illustrated Edition",Loving the Information in this book.,"Tuesday, May 1, 2012",Positive
1001 Most Useful Spanish Words (Dover Language Guides Spanish),It Gives Exactly What It Offers,"Monday, April 30, 2012",Positive
101 Fitness Myths (Volume 1),Maik Wiedenbach confronts Misconceptions about Fitness,"Wednesday, May 2, 2012",Positive
101 Questions & Answers on the Da Vinci Code and the Catholic Tradition,A Truth That's More Interesting Than the Conspiracy Theory,"Monday, April 30, 2012",Positive
101 Questions and Answers on Eastern Catholic Churches (101 Questions & Answers),Travel Guide to the Eastern Rites,"Wednesday, May 2, 2012",Negative
"101 Recipes for Preparing Food in Bulk: Everything You Need to Know About Preparing, Storing, and Consuming with Companion CD-ROM (Back-To-Basics Cooking)",greatest cookbook,"Sunday, April 29, 2012",Positive
101 Slow Cooker Favourites: Triple-tested Recipes (Good Food 101),Little gem,"Thursday, May 3, 2012",Positive
101 Social Media Tactics for Nonprofits: A Field Guide,Great Pragmatic Guide to Online Social Communications,"Wednesday, May 2, 2012",Positive
101 Things You - and John McCain - Didn't Know about Sarah Palin,Poorly Constructed Satire that Misfires Badly,"Sunday, April 29, 2012",Positive
101 Thread Crochet Embellishments,Satisfied Customer,"Tuesday, May 1, 2012",Positive
101 Ways to Be a Special Dad,Such a cute little book,"Wednesday, May 2, 2012",Positive
101 Ways to Be a Special Mom,little reminders,"Monday, April 30, 2012",Positive
101 Ways to Score Higher on Your Series 7 Exam: What You Need to Know Explained Simply,Not reliable.,"Wednesday, May 2, 2012",Positive
